Season,League,Player,Pos,Team,GP,G,A,P,PIM,+/-
2012,CWHL,Charissa Stadnyk,D,Brampton Thunder,8,0,5,5,6,1
2012,CWHL,Marie-Ève Provost,F,Montreal Stars,20,4,0,4,4,1
2012,CWHL,Olivia Sutter,F,Team Alberta CWHL,23,3,1,4,20,-4
2012,CWHL,Meagan Aarts,F,Toronto Furies,24,2,2,4,12,-5
2012,CWHL,Kristy Zamora,F,Toronto Furies,24,1,3,4,8,-3
2012,CWHL,Karolina Urban,F,Toronto Furies,24,2,1,3,8,1
2012,CWHL,Lauren Chiswell,F,Team Alberta CWHL,23,2,1,3,8,-4
2012,CWHL,Kerri Sanders,F,Team Alberta CWHL,10,2,1,3,6,0
2012,CWHL,Sarah Vaillancourt,F,Montreal Stars,5,2,1,3,6,2
2012,CWHL,Brooke Beazer,F,Toronto Furies,23,1,2,3,4,1
2012,CWHL,Jocelyne Larocque,D,Team Alberta CWHL,23,1,2,3,44,-1
2012,CWHL,Lexie Hoffmeyer,D,Toronto Furies,22,1,2,3,38,-1
2012,CWHL,Erin Duggan,D/F,Team Alberta CWHL,22,1,2,3,2,0
2012,CWHL,Tia Hanson,F,Team Alberta CWHL,14,1,2,3,4,0
2012,CWHL,Stephanie Roy,F,Team Alberta CWHL,12,1,2,3,4,1
2012,CWHL,Kristin Labrie,F,Team Alberta CWHL,11,1,2,3,4,0
2012,CWHL,Lindsey Vine,F,Brampton Thunder,9,1,2,3,8,2
2012,CWHL,Molly Engstrom,D,Boston Blades,8,1,2,3,6,2
2012,CWHL,Laura Dostaler,F,Team Alberta CWHL,23,2,0,2,6,-3
2012,CWHL,Shannon Moulson,D,Toronto Furies,24,1,1,2,24,0
2012,CWHL,Kelsey Webster,D,Team Alberta CWHL,23,1,1,2,38,0
2012,CWHL,Kelly Zamora,F,Toronto Furies,22,1,1,2,6,-1
2012,CWHL,Katerina Mrazova,F,Boston Blades,21,1,1,2,4,2
2012,CWHL,Kori Cheverie,F,Toronto Furies,24,0,2,2,22,-7
2012,CWHL,Dania Simmonds,D,Brampton Thunder,24,0,2,2,20,1
2012,CWHL,Martine Garland,D,Toronto Furies,19,0,2,2,10,-2
2012,CWHL,Virginie Bouetz Andrieu,D,Montreal Stars,17,0,2,2,2,2
2012,CWHL,Emily Berzins,F,Team Alberta CWHL,17,1,0,1,12,-1
2012,CWHL,Amber Bowman,D,Toronto Furies,13,1,0,1,6,-2
2012,CWHL,Lindsay Berman,D,Boston Blades,11,1,0,1,2,0
2012,CWHL,Kasey Boucher,D,Boston Blades,11,1,0,1,4,1
2012,CWHL,Bianca Zuber,F,Team Alberta CWHL,6,1,0,1,0,0
2012,CWHL,Alyssa Cecere,D,Montreal Stars,21,0,1,1,6,9
2012,CWHL,Lisa-Marie Breton-Lebreux,F,Montreal Stars,19,0,1,1,20,4
2012,CWHL,Amanda Shaw,D,Toronto Furies,16,0,1,1,16,-3
2012,CWHL,Jennifer Kirk,F,Brampton Thunder,12,0,1,1,16,-4
2012,CWHL,Catherine White,F,Toronto Furies,9,0,1,1,2,1
2012,CWHL,Ingrid Renli,F,Team Alberta CWHL,6,0,1,1,0,0
2012,CWHL,Jordanna Peroff,F,Toronto Furies,20,0,0,0,2,0
2012,CWHL,Murphy Shannon,F,Team Alberta CWHL,12,0,0,0,4,-4
2012,CWHL,Sarah Dagg,F,Brampton Thunder,12,0,0,0,6,-6
2012,CWHL,Bobbi Jo Slusar,D,Team Alberta CWHL,12,0,0,0,16,0
2012,CWHL,Madison Haller,???,Team Alberta CWHL,11,0,0,0,2,-2
2012,CWHL,Holly Lorms,F,Boston Blades,8,0,0,0,0,-1
2012,CWHL,Anya Battaglino,D,Boston Blades,8,0,0,0,4,0
2012,CWHL,Kristen Marson,D,Toronto Furies,7,0,0,0,0,0
2012,CWHL,Gillian Ferrari,D,Montreal Stars,3,0,0,0,2,-3
2012,CWHL,Alyssa Wohlfeiler,F,Boston Blades,2,0,0,0,0,0
2013,CWHL,Ann-Sophie Bettez,F,Montreal Stars,23,16,24,40,12,23
2013,CWHL,Sarah Vaillancourt,F,Montreal Stars,17,12,23,35,12,16
2013,CWHL,Vanessa Davidson,F,Montreal Stars,23,11,20,31,20,14
2013,CWHL,Cathy Chartrand,D,Montreal Stars,23,9,21,30,32,18
2013,CWHL,Jillian Dempsey,F,Boston Blades,24,14,14,28,8,10
2013,CWHL,Danielle Stone,F,Calgary Inferno,24,15,10,25,14,17
2013,CWHL,Carolyne Prevost,F,Toronto Furies,23,11,12,23,6,4
2013,CWHL,Alyssa Baldin,F,Toronto Furies,23,8,15,23,14,6
2013,CWHL,Julie Paetsch,F,Calgary Inferno,24,13,9,22,10,4
2013,CWHL,Marie-Ève Provost,F,Montreal Stars,22,8,11,19,12,1
2013,CWHL,Blake Bolden,D,Boston Blades,23,5,14,19,44,-1
2013,CWHL,Jenna Cunningham,F,Calgary Inferno,18,11,7,18,10,2
2013,CWHL,Emmanuelle Blais,F,Montreal Stars,23,7,10,17,12,6
2013,CWHL,Dominique Thibault,F,Montreal Stars,17,10,6,16,2,8
2013,CWHL,Kori Cheverie,F,Toronto Furies,23,5,11,16,12,9
2013,CWHL,Casey Pickett,F,Boston Blades,22,9,6,15,10,-2
2013,CWHL,Jessica Koizumi,F,Boston Blades,11,7,8,15,10,12
2013,CWHL,Danielle Skirrow,F,Brampton Thunder,24,5,10,15,22,-8
2013,CWHL,Casandra Dupuis,F,Montreal Stars,23,5,10,15,8,3
2013,CWHL,Jill Cardella,F,Boston Blades,24,4,11,15,8,4
2013,CWHL,Kelly Cooke,F,Boston Blades,23,6,8,14,8,-2
2013,CWHL,Katie Wilson,F,Toronto Furies,23,5,9,14,12,2
2013,CWHL,Kate Buesser,F,Boston Blades,15,3,11,14,22,5
2013,CWHL,Rachel Llanes,F,Boston Blades,23,6,6,12,10,-2
2013,CWHL,Taryn Peacock,F,Calgary Inferno,23,3,9,12,16,4
2013,CWHL,Michelle Bonello,D,Toronto Furies,22,2,10,12,39,3
2013,CWHL,Jenelle Kohanchuk,F,Toronto Furies,14,7,3,10,10,2
2013,CWHL,Meagan Aarts,F,Toronto Furies,21,6,4,10,10,0
2013,CWHL,Chelsea Purcell,F,Calgary Inferno,24,4,6,10,12,8
2013,CWHL,Dru Burns,D,Boston Blades,22,4,6,10,22,1
2013,CWHL,Tegan Schroeder,D,Calgary Inferno,24,1,9,10,8,6
2013,CWHL,Ashley Pendleton,D,Brampton Thunder,22,1,9,10,32,-9
2013,CWHL,Jess Jones,F,Brampton Thunder,23,5,4,9,26,-9
2013,CWHL,Holly Carrie-Mattimoe,F,Toronto Furies,22,2,7,9,2,5
2013,CWHL,Jessica Wong,F,Calgary Inferno,12,2,7,9,14,7
2013,CWHL,Carly Dupont-Hill,D,Montreal Stars,20,1,8,9,6,14
2013,CWHL,Jessica Vella,F,Toronto Furies,20,7,1,8,6,2
2013,CWHL,Danielle Boudreau,D,Brampton Thunder,24,6,2,8,20,-3
2013,CWHL,Sasha Nanji,D,Brampton Thunder,14,4,4,8,8,-1
2013,CWHL,Hilary Knight,F,Boston Blades,4,4,4,8,0,4
2013,CWHL,Jennifer Kirk,F,Brampton Thunder,20,2,6,8,32,-3
2013,CWHL,Britni Smith,D,Toronto Furies,14,1,7,8,8,6
2013,CWHL,Fannie Desforges,F,Montreal Stars,19,6,1,7,12,7
2013,CWHL,Ashley Cottrell,F,Boston Blades,24,5,2,7,6,1
2013,CWHL,Alyssa Wohlfeiler,F,Boston Blades,24,4,3,7,22,-1
2013,CWHL,Kristy Zamora,F,Toronto Furies,23,4,3,7,36,4
2013,CWHL,Natasha Fryer,F,Brampton Thunder,21,4,3,7,2,-10
2013,CWHL,Alyssa Cecere,D,Montreal Stars,23,3,4,7,34,13
2013,CWHL,Shannon Moulson,D,Toronto Furies,23,2,5,7,22,4
2013,CWHL,Christie Jensen,D,Boston Blades,23,0,7,7,6,5
2013,CWHL,Abygail Laking,F,Calgary Inferno,22,4,2,6,6,-4
2013,CWHL,Rhianna Kurio,F,Calgary Inferno,24,3,3,6,8,0
2013,CWHL,Jana Head,F,Brampton Thunder,17,2,4,6,10,-12
2013,CWHL,Whitney Naslund,F,Boston Blades,23,1,5,6,6,0
2013,CWHL,Madison Haller,???,Calgary Inferno,24,0,6,6,10,7
2013,CWHL,Laura McIntosh,F,Brampton Thunder,9,4,1,5,16,-4
2013,CWHL,Lindsey Vine,F,Brampton Thunder,24,3,2,5,18,-15
2013,CWHL,Erin Duggan,D/F,Calgary Inferno,23,1,4,5,12,-14
2013,CWHL,Sarah Moe,F,Brampton Thunder,19,3,1,4,2,-10
2013,CWHL,Julie Allen,F,Toronto Furies,21,2,2,4,6,4
2013,CWHL,Kelly Zamora,F,Toronto Furies,18,2,2,4,8,5
2013,CWHL,Kelsey Webster,D,Calgary Inferno,24,1,3,4,48,-12
2013,CWHL,Emily Berzins,F,Calgary Inferno,24,1,3,4,36,-6
2013,CWHL,Laura Dostaler,F,Calgary Inferno,24,1,3,4,14,-15
